ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
138040.KS,138040,메리츠금융지주,Korea,Financial Services,118900.0,KRW,19609721969700.0,-6472006707050.0,-0.007,-0.037,-6472006707050.0,2252241633280.0,74103148030.0,-3.0299291792048053,OCF,Flat ➡,Flat ➡,-3.0x,19609.7219697,-3.0299291792048053
011200.KS,011200,HMM,Korea,Industrials,21200.0,KRW,19996644964000.0,3305131000000.0,-0.142,-0.559,3305131000000.0,1872162979840.0,1116014000000.0,6.050182266300489,OCF,Downtrend ↘,Downtrend ↘,6.1x,19996.644964,6.050182266300489
000720.KS,000720,현대건설,Korea,Industrials,179500.0,KRW,20177677211000.0,-748259000000.0,0.112,0.0,-748259000000.0,373147009024.0,189641000000.0,-26.96616707717515,OCF,Uptrend ↗,Flat ➡,-27.0x,20177.677211,-26.96616707717515
003670.KS,003670,포스코퓨처엠,Korea,Industrials,223500.0,KRW,19879472124000.0,-33577422250.0,-0.229,0.0,-33577422250.0,4191578880.0,193089136000.0,-592.0487873067742,OCF,Downtrend ↘,Flat ➡,-592.0x,19879.472124,-592.0487873067742
033780.KS,033780,KT&G,Korea,Consumer Defensive,171000.0,KRW,18020621421000.0,582875000000.0,0.101,-0.127,582875000000.0,1090837020672.0,260358000000.0,30.916785624705124,OCF,Uptrend ↗,Downtrend ↘,30.9x,18020.621421,30.916785624705124
079550.KS,079550,LIG디펜스앤에어로스페이스,Korea,Industrials,883000.0,KRW,19289355750000.0,-584305263670.0,0.203,-0.934,-584305263670.0,253355819008.0,88761596000.0,-33.012462747373284,OCF,Uptrend ↗,Downtrend ↘,-33.0x,19289.35575,-33.012462747373284
047810.KS,047810,한국항공우주,Korea,Industrials,189900.0,KRW,18510522819300.0,-903316343550.0,0.34,4.126,-903316343550.0,185887817728.0,93485075000.0,-20.49173908063517,OCF,Uptrend ↗,Uptrend ↗,-20.5x,18510.5228193,-20.49173908063517
024110.KS,024110,기업은행,Korea,Financial Services,22850.0,KRW,18221181060950.0,-3022146000000.0,0.093,0.017,-3022146000000.0,2538092888064.0,317009000000.0,-6.029219323272271,OCF,Uptrend ↗,Flat ➡,-6.0x,18221.18106095,-6.029219323272271
086280.KS,086280,현대글로비스,Korea,Industrials,229000.0,KRW,17175000000000.0,2500761317210.0,0.025,3.564,2500761317210.0,1733738496000.0,754535530000.0,6.867908537213565,OCF,Flat ➡,Uptrend ↗,6.9x,17175.0,6.867908537213565
030200.KS,030200,KT,Korea,Communication Services,63600.0,KRW,15336023565600.0,5065796000000.0,0.041,0.0,5065796000000.0,1729929936896.0,3277899000000.0,3.027366985484611,OCF,Flat ➡,Flat ➡,3.0x,15336.0235656,3.027366985484611
278470.KS,278470,에이피알,Korea,Consumer Defensive,414500.0,KRW,15518115247500.0,341046397290.0,1.242,1.406,341046397290.0,289654800384.0,29125731050.0,45.50147830561767,OCF,Uptrend ↗,Uptrend ↗,45.5x,15518.1152475,45.50147830561767
018260.KS,018260,삼성에스디에스,Korea,Technology,191000.0,KRW,14773885526000.0,1203327812660.0,-0.029,-0.037,1203327812660.0,759538778112.0,599434473000.0,12.277523523155164,OCF,Flat ➡,Flat ➡,12.3x,14773.885526,12.277523523155164
003550.KS,003550,LG,Korea,Technology,93800.0,KRW,14464260441400.0,1015114000000.0,-0.146,0.0,1015114000000.0,737248018432.0,204435000000.0,14.248902528582997,OCF,Downtrend ↘,Flat ➡,14.2x,14464.2604414,14.248902528582997
071050.KS,071050,한국금융지주,Korea,Financial Services,257000.0,KRW,15007968348000.0,-7607218000000.0,-0.032,3.817,-7607218000000.0,2020435034112.0,93044000000.0,-1.9728589805103522,OCF,Flat ➡,Uptrend ↗,-2.0x,15007.968348,-1.9728589805103522
010950.KS,010950,S-Oil,Korea,Energy,118100.0,KRW,13749277465900.0,3942304000000.0,-0.014,0.0,3942304000000.0,176952000512.0,791140000000.0,3.487624867564754,OCF,Flat ➡,Flat ➡,3.5x,13749.2774659,3.487624867564754
047050.KS,047050,포스코인터내셔널,Korea,Industrials,72800.0,KRW,12408358653600.0,1941539030000.0,0.0,0.0,1941539030000.0,680757559296.0,298136000000.0,6.390991096171783,OCF,Flat ➡,Flat ➡,6.4x,12408.3586536,6.390991096171783
005940.KS,005940,NH투자증권,Korea,Financial Services,35200.0,KRW,13207579862400.0,-5421616000000.0,0.846,1.383,-5421616000000.0,1031599030272.0,69616000000.0,-2.436096518528793,OCF,Uptrend ↗,Uptrend ↗,-2.4x,13207.5798624,-2.436096518528793
323410.KS,323410,카카오뱅크,Korea,Financial Services,25650.0,KRW,12221150341950.0,6005765000000.0,0.089,0.0,6005765000000.0,480279986176.0,53836000000.0,2.034903187512332,OCF,Uptrend ↗,Flat ➡,2.0x,12221.15034195,2.034903187512332
259960.KS,259960,크래프톤,Korea,Communication Services,256500.0,KRW,11450671461000.0,1045103395350.0,0.489,0.0,1045103395350.0,734769971200.0,110330833000.0,10.956496277734535,OCF,Uptrend ↗,Flat ➡,11.0x,11450.671461,10.956496277734535
039490.KS,039490,키움증권,Korea,Financial Services,459500.0,KRW,11897895073000.0,-6399934098930.0,0.687,1.213,-6399934098930.0,1113586401280.0,64328373620.0,-1.8590652480295382,OCF,Uptrend ↗,Uptrend ↗,-1.9x,11897.895073,-1.8590652480295382
307950.KS,307950,현대오토에버,Korea,Technology,437000.0,KRW,11983901692000.0,423608443000.0,0.141,0.056,423608443000.0,182484123648.0,116251900000.0,28.29004447392471,OCF,Uptrend ↗,Uptrend ↗,28.3x,11983.901692,28.29004447392471
